release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
3.0.1,src/java/main/org/apache/jute/compiler/JLong.java,0.006849,0.024943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,0.0,no
3.0.1,src/java/main/org/apache/jute/compiler/JString.java,0.012177,0.024943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005051,0.181818,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/AsyncCallback.java,0.018265,0.019274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/ClientWatchManager.java,0.001522,0.035147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,0.001522,0.03288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/SessionTracker.java,0.008371,0.038549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005051,0.090909,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,0.004566,0.073696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035354,0.0,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,0.028158,0.020408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303,0.272727,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,0.00761,0.046485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,0.012177,0.091837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202,0.090909,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,0.008371,0.028345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005051,0.090909,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/Election.java,0.001522,0.019274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,0.00761,0.019274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,0.0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,0.02207,0.036281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202,0.272727,0.0,no
3.1.0,src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/MySqlClient.java,0.063927,0.038549,0.016129,0.142857,0.0,0.051311,0.119755,0.160798,0.059982,0.119755,0.160798,0.028247,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.015152,0.181818,0.0,no
3.1.0,src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/TestClient.java,0.143836,0.057823,0.016129,0.142857,0.0,0.100749,0.23514,0.315728,0.117776,0.23514,0.315728,0.055464,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.085859,0.272727,0.0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/Bookie.java,0.20624,0.037415,0.016129,0.142857,0.0,0.128464,0.299825,0.402582,0.150175,0.299825,0.402582,0.070722,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.151515,0.545455,0.0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,0.066971,0.055556,0.016129,0.142857,0.0,0.057678,0.134615,0.180751,0.067426,0.134615,0.180751,0.031753,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.030303,0.181818,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/AddCallback.java,0.000761,0.035147,0.016129,0.142857,0.0,0.013858,0.032343,0.043427,0.0162,0.032343,0.043427,0.007629,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.005051,0.0,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BKException.java,0.064688,0.027211,0.016129,0.142857,0.0,0.048689,0.113636,0.152582,0.056918,0.113636,0.152582,0.026804,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.060606,0.181818,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BookKeeper.java,0.277778,0.268707,0.016129,0.142857,0.0,0.262547,0.612762,0.82277,0.306918,0.612762,0.82277,0.144536,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.207071,0.363636,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BookieHandle.java,0.098935,0.096372,0.016129,0.142857,0.0,0.093633,0.218531,0.293427,0.109457,0.218531,0.293427,0.051546,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.050505,0.545455,0.0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ClientCBWorker.java,0.050989,0.029478,0.016129,0.142857,0.0,0.041948,0.097902,0.131455,0.049037,0.097902,0.131455,0.023093,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.040404,0.545455,0.0,yes
