release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/ReadEntryCallback.java,5,26,1,1,0,35,35,35.0,35,35,35.0,35,28,28,28.0,2.0,2.0,0,0,4,1,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/ServerStats.java,105,15,1,1,0,133,133,133.0,133,133,133.0,133,28,28,28.0,2.0,2.0,0,0,5,3,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/WriteCallback.java,4,26,1,1,0,32,32,32.0,32,32,32.0,32,28,28,28.0,2.0,2.0,0,0,4,1,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/util/ClientBase.java,245,51,1,1,0,343,343,343.0,343,343,343.0,343,28,28,28.0,2.0,2.0,0,0,26,6,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/util/LocalBookKeeper.java,112,33,1,1,0,164,164,164.0,164,164,164.0,164,28,28,28.0,2.0,2.0,0,0,8,4,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/util/Main.java,23,25,1,1,0,55,55,55.0,55,55,55.0,55,28,28,28.0,2.0,2.0,0,0,4,3,0,no
3.1.0,src/contrib/fatjar/src/java/org/apache/zookeeper/util/FatJarMain.java,79,41,1,1,0,126,126,126.0,126,126,126.0,126,1,1,1.0,5.0,5.0,0,0,12,4,0,no
3.1.0,src/java/main/org/apache/jute/Index.java,5,32,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,1,0,no
3.1.0,src/java/main/org/apache/jute/Record.java,8,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JBoolean.java,15,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JByte.java,9,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JCompType.java,24,24,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JDouble.java,13,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JFloat.java,12,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JInt.java,9,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JLong.java,12,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/jute/compiler/JString.java,19,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,3,0,no
3.1.0,src/java/main/org/apache/zookeeper/AsyncCallback.java,27,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/ClientWatchManager.java,5,31,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/Environment.java,68,21,1,1,0,100,100,100.0,100,100,100.0,100,5,5,5.0,10.0,10.0,0,0,3,3,0,no
3.1.0,src/java/main/org/apache/zookeeper/Quotas.java,15,45,1,1,0,68,68,68.0,68,68,68.0,68,7,7,7.0,1.0,1.0,0,0,4,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/StatsTrack.java,37,55,1,1,0,101,101,101.0,101,101,101.0,101,7,7,7.0,1.0,1.0,0,0,8,3,0,no
3.1.0,src/java/main/org/apache/zookeeper/common/PathTrie.java,154,108,1,1,0,280,280,280.0,280,280,280.0,280,7,7,7.0,1.0,1.0,0,0,28,5,0,no
3.1.0,src/java/main/org/apache/zookeeper/jmx/CommonNames.java,6,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/jmx/MBeanRegistry.java,123,57,2,1,0,68,34,34.0,28,14,14.0,108,16,8,8.0,1.0,1.0,0,0,17,4,0,no
3.1.0,src/java/main/org/apache/zookeeper/jmx/ManagedUtil.java,30,30,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,5,3,0,no
3.1.0,src/java/main/org/apache/zookeeper/jmx/ZKMBeanInfo.java,5,29,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,5,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/ConnectionBean.java,81,20,2,1,0,42,21,21.0,24,12,12.0,60,16,8,8.0,1.0,1.0,0,0,5,3,0,no
