Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
DatasetClassiRealeseNormalized,8,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,406.0,75.0,0.0,84.4074844074844,15.592515592515593,0.0,0.45117220185300705,0.1575167579101892,0.3772510167373368,68.2964626455332,111.075292314345,272.1308087156738,960.0615062304013,-687.9306975147274,0.565760517080403,1.9959698674228716,-1.4302093503424687,34.03145085692493,0.07075145708300401,12.505548716639971,0.6875,44.0,0.13189448441247004,55.0,0.86810551558753,362.0,0.3125,20.0,0.4444444444444444,0.6875,0.5398773006134969,0.4667402818439293,0.8842550959232613,0.599631865204842,0.8440748440748441,0.2884693284873141,0.7115306715126859,0.15592515592515593,0.8806901948263205,0.8440748440748441,0.857400143225216,0.4667402818439293,0.8842550959232615,0.9284244154975486,0.7230049832228936,0.8440748440748441,0.011,0.0,0.01,0.0,10.0,0.0,23093.0,924503.0,104666.0,87.73388773388774,54.36590436590436,?,0.0,0.0,0.0,0.0,-110648.46171303108,-111223.0406068492,-111253.33339631934,-110549.08122459924,-110328.08122459924
DatasetClassiRealeseNormalized,8,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,410.0,71.0,0.0,85.23908523908524,14.76091476091476,0.0,0.4690371429904073,0.1502673846069168,0.3688600450820878,65.15326341023174,108.60471016066694,272.1308087156738,801.7031519653333,-529.5723432496595,0.565760517080403,1.6667425196784476,-1.1009820025980448,42.593503381629766,0.08855198208239036,15.65184904371929,0.6875,44.0,0.1223021582733813,51.0,0.8776978417266187,366.0,0.3125,20.0,0.4631578947368421,0.6875,0.5534591194968552,0.4821731848809924,0.8860723920863309,0.6693477920933306,0.8523908523908524,0.2871930106642337,0.7128069893357663,0.14760914760914762,0.8836504940677289,0.8523908523908524,0.8639311808089268,0.4821731848809924,0.8860723920863309,0.9361990168373326,0.7325203443063354,0.8523908523908524,0.011,0.001,0.02,0.0,20.0,0.0,23089.0,924503.0,104666.0,89.1891891891892,54.15800415800416,?,0.0,0.0,0.0,0.0,-107232.23060824709,-107832.986354043,-107856.49067277869,-107152.23850105859,-106931.23850105859
DatasetClassiRealeseNormalized,8,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,411.0,70.0,0.0,85.44698544698545,14.553014553014552,0.0,0.49588261715825716,0.14547853362853438,0.3674621666625865,63.076902861047515,108.19312809149488,272.1308087156738,897.9627038933523,-625.8318951776785,0.565760517080403,1.8668663282606077,-1.3011058111802047,51.00300630784884,0.1060353561493739,18.74209191842645,0.75,48.0,0.12949640287769784,54.0,0.8705035971223022,363.0,0.25,16.0,0.47058823529411764,0.75,0.5783132530120481,0.5155640505760655,0.9104466426858513,0.6666761221944667,0.8544698544698545,0.23396625734755233,0.7660337426524477,0.14553014553014554,0.892959304413596,0.8544698544698545,0.8676532098158302,0.5155640505760655,0.9104466426858513,0.9408544569895618,0.7451867772597929,0.8544698544698545,0.012,0.0,0.01,0.0,10.0,0.0,22719.0,924503.0,104666.0,87.94178794178794,52.91060291060291,?,0.0,0.0,0.0,0.0,-108681.93269248928,-109214.04590998695,-109242.22792180268,-108576.21568700855,-108367.21568700855
DatasetClassiRealeseNormalized,8,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,420.0,61.0,0.0,87.31808731808732,12.681912681912682,0.0,0.5630073127503986,0.13035203457179834,0.3408134815953125,56.5183221011826,100.34686565000409,272.1308087156738,736.6329271918574,-464.5021184761836,0.565760517080403,1.5314613870932587,-0.9657008700128558,73.66905969652719,0.1531581282672083,27.071194196720914,0.828125,53.0,0.11990407673860912,50.0,0.8800959232613909,367.0,0.171875,11.0,0.5145631067961165,0.828125,0.6347305389221557,0.5863571906137279,0.9154301558752997,0.6980522140543789,0.8731808731808732,0.1649599499194823,0.8350400500805177,0.12681912681912683,0.9101811189189831,0.8731808731808732,0.8848784367482819,0.5863571906137279,0.9155113668940108,0.944160917318958,0.779000489586864,0.8731808731808732,0.011,0.001,0.01,0.0,10.0,0.0,23593.0,924503.0,104666.0,90.43659043659044,53.74220374220374,?,0.0,0.0,0.0,0.0,-111063.60154244951,-111692.52216677976,-111732.83601355953,-110977.59725927147,-110740.59725927147
DatasetClassiRealeseNormalized,8,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,405.0,76.0,0.0,84.1995841995842,15.8004158004158,0.0,0.49534774565835604,0.16040842332280503,0.38164918826328453,69.55023730072702,112.37026082660593,272.1308087156738,921.4049447697898,-649.2741360541161,0.565760517080403,1.9156027957791888,-1.349842278698786,22.47137117120696,0.046718027382966654,8.257562338222927,0.828125,53.0,0.15587529976019185,65.0,0.8441247002398081,352.0,0.171875,11.0,0.4491525423728814,0.828125,0.5824175824175823,0.530633073728492,0.8886578237410072,0.709097752361632,0.841995841995842,0.16974614175603384,0.8302538582439661,0.158004158004158,0.9004353411133073,0.841995841995842,0.8599666445820291,0.530633073728492,0.8886578237410072,0.9391260629885451,0.7424908424908424,0.841995841995842,0.011,0.001,0.01,0.0,10.0,0.0,23278.0,924503.0,104666.0,88.56548856548856,54.26195426195426,?,0.0,0.0,0.0,0.0,-110114.95260075416,-110732.77954687255,-110757.73509396872,-110034.36295378563,-109807.36295378563
DatasetClassiRealeseNormalized,8,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,420.0,61.0,0.0,87.31808731808732,12.681912681912682,0.0,0.5282873265703126,0.1338691780659928,0.34283216398001704,58.04329291988871,100.9412331295409,272.1308087156738,672.8441265141558,-400.713317798482,0.565760517080403,1.398844337867268,-0.8330838207868649,66.32542571915663,0.1378906979608246,24.372626543896537,0.71875,46.0,0.10311750599520383,43.0,0.8968824940047961,374.0,0.28125,18.0,0.5168539325842697,0.71875,0.6013071895424837,0.5384452029154094,0.9007419064748201,0.686955425328936,0.8731808731808732,0.25754837917607704,0.7424516208239229,0.12681912681912683,0.895905805616881,0.8731808731808732,0.8815824085219855,0.5384452029154094,0.9007419064748202,0.941370028737308,0.7629527295054817,0.8731808731808732,0.012,0.0,0.01,0.0,10.0,0.0,22589.0,924503.0,104666.0,90.02079002079002,54.46985446985447,?,0.0,0.0,0.0,0.0,-108443.2248651032,-108947.8131215077,-108984.46519479077,-108331.19960563866,-108126.19960563866
DatasetClassiRealeseNormalized,9,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4329.0,482.0,413.0,69.0,0.0,85.68464730290457,14.315352697095436,0.0,0.4784694997647795,0.14504544082658968,0.3657945816399278,62.93826693536725,107.79685532008443,272.3366817903761,825.0338049264117,-552.6971231360355,0.565013862635635,1.7116883919635097,-1.1466745293278746,54.01458338072558,0.11206345099735598,19.833752480799436,0.6875,44.0,0.11722488038277512,49.0,0.8827751196172249,369.0,0.3125,20.0,0.4731182795698925,0.6875,0.5605095541401275,0.49039527517192544,0.8981197667464115,0.6488982182922008,0.8568464730290456,0.2865713534118207,0.7134286465881793,0.14315352697095435,0.8854534591738155,0.8568464730290456,0.8674955072889944,0.49039527517192544,0.8982332262899799,0.9362329640013001,0.7375038477020339,0.8568464730290456,0.012,0.0,0.01,0.0,10.0,0.0,22900.0,924290.0,104879.0,89.41908713692946,54.149377593360995,?,0.0,0.0,0.0,0.0,-107153.66586302705,-107699.8393926085,-107737.3036565877,-107052.1962829877,-106837.1962829877
DatasetClassiRealeseNormalized,9,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,408.0,73.0,0.0,84.82328482328482,15.176715176715177,0.0,0.4423232692216066,0.15186195230802235,0.37078497335429067,66.23398697828117,109.90043300114765,269.42867131105754,960.3873146624821,-690.9586433514246,0.5601427677984564,1.9966472238305242,-1.4365044560320677,36.98047572480605,0.07688248591435769,13.725516124492852,0.6507936507936508,41.0,0.12200956937799043,51.0,0.8779904306220095,367.0,0.3492063492063492,22.0,0.44565217391304346,0.6507936507936508,0.5290322580645161,0.4535948070228719,0.8449912660438976,0.6024660461502171,0.8482328482328483,0.3194487668171878,0.6805512331828122,0.15176715176715178,0.8782452892489777,0.8482328482328483,0.8597035014111403,0.4535948070228719,0.8449912660438976,0.9189150807679684,0.7192868849182557,0.8482328482328483,0.011,0.001,0.01,0.0,10.0,0.0,23154.0,924503.0,104666.0,88.77338877338877,53.95010395010395,?,0.0,0.0,0.0,0.0,-109830.10462405471,-110436.72433131705,-110448.23705150386,-109737.61155696277,-109514.61155696277
DatasetClassiRealeseNormalized,9,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,407.0,74.0,0.0,84.61538461538461,15.384615384615385,0.0,0.44962271152894595,0.15249537287295348,0.3671847252291207,66.11927946722055,108.11144007223162,272.1308087156738,722.5695411518726,-450.4387324361988,0.565760517080403,1.5022235782783215,-0.9364630611979184,39.318623866058914,0.08174350076103724,14.448427964339597,0.671875,43.0,0.12709832134292565,53.0,0.8729016786570744,364.0,0.328125,21.0,0.4479166666666667,0.671875,0.5375,0.46292489932893155,0.8947279676258992,0.6230784359083013,0.8461538461538461,0.30137716749677185,0.6986228325032282,0.15384615384615385,0.8792540792540793,0.8461538461538461,0.8584692115864184,0.46292489932893155,0.8947279676258992,0.9333918175018907,0.7226153366583541,0.8461538461538461,0.011,0.001,0.01,0.0,10.0,0.0,23341.0,924503.0,104666.0,90.22869022869023,55.61330561330561,?,0.0,0.0,0.0,0.0,-109141.17982995849,-109754.80604581352,-109787.53343121498,-109057.78796821089,-108828.78796821089
DatasetClassiRealeseNormalized,9,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,408.0,73.0,0.0,84.82328482328482,15.176715176715177,0.0,0.4714842632870239,0.16004815897316124,0.38461958484080966,69.39403309093753,113.24484473360666,272.1308087156738,953.7967283776065,-681.6659196619328,0.565760517080403,1.9829453812424251,-1.4171848641620224,30.257929136182312,0.06290629758042061,11.118891418059258,0.71875,46.0,0.13189448441247004,55.0,0.86810551558753,362.0,0.28125,18.0,0.45544554455445546,0.71875,0.5575757575757576,0.48936929890639747,0.8857164268585132,0.624045318356466,0.8482328482328483,0.26137733264531826,0.7386226673546817,0.15176715176715178,0.8864779278015339,0.8482328482328483,0.8617263392671172,0.48936929890639747,0.8857326690622555,0.9312050369984265,0.732991141021254,0.8482328482328483,0.012,0.0,0.01,0.0,10.0,0.0,23219.0,924503.0,104666.0,86.6943866943867,53.11850311850312,?,0.0,0.0,0.0,0.0,-107796.03505288239,-108396.08539616593,-108427.72638838943,-107710.72757102734,-107485.72757102734
