release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,buggy
3.0.0,CommonNames,29,21,3,1,0,9,7,3.0,2,2,0.6666666666666666,16,no
3.0.0,MBeanRegistry,175,57,4,2,0,9,7,2.25,2,2,0.5,16,no
3.0.0,ZKMBeanInfo,36,29,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,ConnectionBean,112,20,5,3,0,16,7,3.2,3,2,0.6,29,no
3.0.0,ConnectionMXBean,68,52,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,DataTreeBean,88,32,5,2,0,16,8,3.2,7,4,1.4,33,no
3.0.0,DataTreeMXBean,46,36,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,ZooKeeperServerBean,117,20,4,2,0,35,23,8.75,22,20,5.5,48,no
3.0.0,ZooKeeperServerMXBean,74,56,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,FollowerBean,28,20,4,1,0,8,7,2.0,30,28,7.5,42,no
3.0.0,FollowerMXBean,26,20,4,1,0,8,7,2.0,28,26,7.0,40,no
3.0.0,LeaderBean,29,20,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,LeaderElectionBean,43,20,3,1,0,9,7,3.0,2,2,0.6666666666666666,16,no
3.0.0,LeaderElectionMXBean,34,27,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,LeaderMXBean,26,20,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,LocalPeerBean,53,20,4,2,0,15,7,3.75,7,5,1.75,23,no
3.0.0,LocalPeerMXBean,34,26,3,1,0,9,7,3.0,2,2,0.6666666666666666,16,no
3.0.0,QuorumBean,44,17,3,1,0,10,7,3.3333333333333335,2,2,0.6666666666666666,18,no
3.0.0,QuorumMXBean,33,26,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,RemotePeerBean,45,21,3,1,0,10,7,3.3333333333333335,2,2,0.6666666666666666,18,no
3.0.0,RemotePeerMXBean,33,26,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,ServerBean,38,20,3,1,0,9,7,3.0,2,2,0.6666666666666666,16,no
3.0.0,ServerMXBean,33,26,3,1,0,8,7,2.6666666666666665,2,2,0.6666666666666666,14,no
3.0.0,ManagedZooKeeperServer,125,38,7,3,0,42,12,6.0,144,125,20.571428571428573,222,no
3.0.0,ManagedZooKeeperServerMain,86,44,6,3,0,102,80,17.0,188,93,31.333333333333332,204,no
