loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
-0.467092,-0.410324,-0.402659,-0.506511,-0.337444,-0.232808,-0.053969,0.389634,-0.20276,-0.062407,0.308867,-0.280225,-0.717698,-0.925683,-0.801481,-0.67819,-0.543036,-0.382471,-0.207498,-0.561978,-0.382343,-0.545912,no
-0.683264,-0.345898,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.459967,-1.293055,-0.585163,no
0.431732,2.601574,-0.151311,-0.506511,-0.013552,1.14946,2.703082,1.199256,1.463148,2.516911,1.00545,0.599681,-0.379578,-0.563186,-0.424137,-0.972016,-0.909165,-0.382471,-0.207498,0.628147,0.528369,0.356859,no
-0.467092,0.1534,-0.276985,-0.506511,-0.337444,-0.109778,0.199382,0.105887,0.468906,0.174612,0.648826,0.065371,-0.390144,-0.381937,-0.191925,0.350199,-0.202628,-0.382471,-0.207498,-0.527974,-0.837699,-0.545912,no
2.371598,-0.136515,-0.402659,-0.506511,-0.337444,1.652432,3.828257,6.302903,2.099462,3.569552,5.518241,0.904352,-0.495806,-0.381937,0.112852,0.268581,0.618356,0.199018,0.397849,0.458129,1.439081,1.691389,no
-0.535357,-0.539175,-0.276985,0.164651,-0.013552,-0.3486,-0.292417,-0.268657,-0.339744,-0.285483,-0.266064,-0.350708,-0.559204,-0.770327,-0.540243,-0.433336,-0.244943,-0.382471,-0.207498,-0.561978,-0.837699,-0.585163,no
1.523974,2.633787,3.241877,3.520459,1.605912,1.677762,-0.016712,-0.332217,0.809157,-0.341252,-0.426711,1.641017,2.156322,1.482336,-0.532986,2.031534,1.706183,0.199018,0.397849,1.580246,0.528369,0.749367,no
-0.643443,-0.539175,-0.402659,-0.506511,-0.337444,-0.424588,-0.448898,-0.211908,-0.436959,-0.431877,-0.221069,-0.400729,-0.390144,-0.12301,0.548249,0.105344,0.418116,-0.382471,-0.207498,-0.527974,-0.382343,-0.545912,no
-0.637754,0.523847,-0.402659,-0.506511,-0.337444,-0.160437,0.095061,0.61663,-0.114383,0.077016,0.508843,-0.234752,0.455156,1.948404,4.031423,-0.988339,-0.923492,-0.382471,-0.207498,-0.39196,-1.293055,-0.585163,no
-0.006302,-0.362005,-0.402659,-0.506511,-0.337444,0.100095,0.631568,1.433819,0.203775,0.578937,1.228757,-0.071048,0.455156,1.948404,4.031423,-0.988339,-0.923492,-0.382471,-0.207498,-0.119931,2.349794,-0.231905,no
-0.450025,-0.523069,-0.402659,-0.506511,-0.337444,-0.283467,-0.15829,0.230736,-0.264624,-0.160003,0.168884,-0.312056,-0.390144,-0.12301,0.548249,0.317552,0.678428,0.199018,-0.207498,-0.119931,1.439081,-0.46741,no
0.431732,1.296955,-0.402659,-0.506511,-0.337444,0.783992,2.039899,3.57894,1.038938,1.896481,3.118529,0.358673,0.455156,1.948404,4.031423,-0.988339,-0.923492,2.524975,-0.207498,2.090299,0.073013,0.788618,no
-0.438648,-0.281473,-0.151311,-0.506511,-0.013552,-0.507814,-0.65754,-0.533487,-0.560687,-0.634039,-0.521033,-0.437108,-0.622601,-0.744435,-0.757941,0.007402,-0.107848,-0.382471,-0.207498,-0.561978,-0.837699,0.631615,no
-0.683264,-0.329792,-0.402659,-0.506511,-0.337444,-0.399259,-0.396738,-0.132459,-0.406027,-0.383079,-0.151077,-0.384813,-0.696565,-0.873898,-0.714401,1.068439,1.599532,-0.382471,-0.207498,-0.49397,-1.293055,-0.585163,no
-0.484158,-0.297579,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.527974,-0.837699,-0.545912,no
-0.410204,-0.426431,-0.402659,-0.506511,-0.337444,-0.200241,0.013094,0.491782,-0.16299,0.000333,0.398856,-0.259762,0.455156,1.948404,4.031423,-0.988339,-0.923492,-0.382471,-0.207498,-0.289949,-0.382343,-0.46741,no
4.083914,2.263339,6.509392,2.178136,7.759876,9.077598,2.449731,-0.025244,8.661457,4.768586,-0.157862,10.501469,4.766185,1.482336,-0.526248,1.394912,0.714563,3.106464,-0.207498,4.232523,1.439081,2.594159,no
-0.683264,-0.394218,-0.528332,-1.177673,-0.337444,-0.536762,-0.679894,-0.563753,-0.573943,-0.647982,-0.531032,-0.471212,-0.749396,-1.003361,-0.9321,-1.184223,-1.16378,-0.382471,-0.207498,-0.561978,-1.293055,-0.585163,no
0.955098,-0.055983,-0.402659,-0.506511,-0.337444,0.769518,2.010093,3.533541,1.021262,1.868596,3.078534,0.349579,-0.495806,-0.381937,0.112852,-0.368041,-0.16258,-0.382471,-0.207498,0.152097,2.349794,0.082102,no
