loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
2.995732,3.091042,0.693147,0.693147,0,0,0,0,1.098612,1.098612,1.098612,1.098612,3.465736,3.465736,3.465736,2.772589,2.772589,0,0,1.098612,0.693147,0.693147,no
3.637586,4.025352,0.693147,0.693147,0,4.624973,4.624973,4.624973,4.624973,4.624973,4.624973,4.624973,2.079442,2.079442,2.079442,5.062595,5.062595,0,0,2.197225,1.386294,1.791759,no
2.70805,2.890372,0.693147,0.693147,0,3.526361,3.526361,3.526361,3.526361,3.526361,3.526361,3.526361,3.555348,3.555348,3.555348,4.727388,4.727388,0,0,1.609438,1.609438,0,no
3.73767,3.367296,1.098612,1.098612,0,4.477337,4.477337,3.795489,5.164786,4.477337,4.477337,5.164786,5.356586,5.081404,4.668145,4.564348,4.18205,0,0,2.197225,1.791759,0,no
3.89182,3.044522,1.098612,1.098612,0,4.406719,4.406719,3.725693,5.09375,4.406719,4.406719,5.09375,5.164786,5.081404,4.477337,4.927254,4.454347,0,0,1.94591,1.386294,1.386294,no
4.174387,3.465736,0.693147,0.693147,0.693147,4.644391,4.644391,4.644391,4.644391,4.644391,4.644391,4.644391,0.693147,0.693147,0.693147,4.927254,4.927254,1.098612,0,3.178054,1.791759,2.397895,no
4.477337,3.555348,1.386294,1.386294,0,4.934474,4.927254,3.850148,5.616771,4.927254,4.525405,5.624018,5.365976,5.081404,4.276666,4.990433,4.50579,0,0,1.791759,1.386294,2.70805,no
3.89182,3.044522,2.079442,1.386294,1.098612,4.454347,3.135494,2.575878,4.454347,3.044522,2.575878,4.836282,4.110874,3.258097,2.258782,4.564348,4.185282,0,0,2.079442,1.94591,2.079442,no
4.882802,3.828641,0.693147,0.693147,0,5.236442,5.236442,5.236442,5.236442,5.236442,5.236442,5.236442,3.218876,3.218876,3.218876,4.836282,4.836282,0,0,2.197225,2.079442,2.302585,no
4.382027,2.995732,1.386294,1.098612,0,3.526361,2.944439,2.484907,2.944439,2.197225,1.94591,4.174387,3.433987,2.70805,2.397895,4.49981,4.436752,0,0,2.639057,1.609438,1.386294,no
3.78419,4.110874,1.098612,0.693147,0,4.779123,4.779123,4.094345,5.46806,4.779123,4.779123,5.46806,3.555348,3.218876,2.890372,4.890349,4.465908,0,0,1.386294,1.098612,0.693147,no
4.418841,3.583519,1.098612,1.098612,0,4.934474,4.927254,4.248495,4.934474,4.927254,4.248495,4.934474,4.094345,3.951244,3.417727,3.73767,3.73352,0,0,2.944439,1.609438,2.70805,no
1.791759,3.295837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
4.174387,3.465736,0.693147,0.693147,0.693147,4.644391,4.644391,4.644391,4.644391,4.644391,4.644391,4.644391,0.693147,0.693147,0.693147,2.564949,2.564949,1.098612,0,3.178054,1.791759,2.397895,no
2.833213,3.091042,0.693147,0.693147,0,3.828641,3.828641,3.828641,3.828641,3.828641,3.828641,3.828641,2.772589,2.772589,2.772589,5.056246,5.056246,0,0,1.098612,1.098612,0.693147,no
5.852202,3.401197,2.079442,1.609438,0,6.056784,5.983936,4.124828,6.054439,5.983936,4.122515,6.082219,5.170484,4.574711,3.258097,4.276666,4.209837,0.693147,0.693147,3.73767,2.197225,3.465736,no
5.153292,3.73767,2.302585,1.94591,1.386294,4.727388,3.663562,2.598566,4.158883,3.091042,2.079442,5.111988,5.337538,4.574711,3.178054,4.867534,4.195058,1.609438,0,4.025352,1.791759,2.197225,no
5.420535,4.488636,2.197225,1.791759,0.693147,3.526361,2.995732,1.634131,5.846439,5.805135,3.787027,5.966147,5.267858,4.574711,3.223863,5.036953,3.014577,0.693147,0,3.258097,1.94591,3.401197,no
3.7612,3.367296,1.098612,1.098612,1.098612,1.94591,1.386294,1.386294,1.098612,0.693147,0.693147,2.397895,1.609438,1.098612,1.098612,4.127134,4.069027,0,0,2.197225,1.386294,2.302585,no
3.496508,3.091042,0.693147,0.693147,0,4.158883,4.158883,4.158883,4.158883,4.158883,4.158883,4.158883,2.564949,2.564949,2.564949,3.465736,3.465736,0,0,1.386294,1.386294,0,no
3.7612,3.091042,0.693147,0.693147,0,4.290459,4.290459,4.290459,4.290459,4.290459,4.290459,4.290459,2.564949,2.564949,2.564949,5.17615,5.17615,0,0,1.098612,1.386294,0.693147,no
2.197225,3.610918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
4.442651,3.526361,1.098612,1.098612,0,4.127134,3.850148,3.449988,3.7612,3.688879,3.091042,4.394449,3.583519,3.465736,2.917771,4.875197,4.680394,0,0.693147,2.639057,1.609438,2.833213,no
