loc,commentLines,nRevisions,nFix,avgChangeSet,cyclomaticComplexity,buggy
4.574711,3.332205,1.098612,0,3.496508,0,no
2.564949,3.044522,0,0,0,0,no
3.258097,2.890372,0.693147,0,2.484907,0,no
6.165418,2.944439,0.693147,0,2.079442,2.079442,no
5.081404,3.091042,0.693147,0,3.465736,0,no
5.918894,5.855072,1.609438,0,2.079442,1.098612,no
6.424869,4.962845,0,0,0,1.791759,no
4.025352,2.890372,0.693147,0,3.555348,0,no
4.189655,3.401197,1.791759,0,2.595255,0.693147,no
2.995732,2.890372,1.386294,0,3.729701,0,no
2.197225,3.091042,1.098612,0,3.960813,0,no
5.141664,3.135494,1.098612,0,2.917771,0.693147,no
5.855072,5.572154,2.079442,1.791759,1.717651,1.098612,no
4.290459,3.135494,0,0,0,0,no
4.430817,3.73767,0.693147,0,3.951244,0,no
5.869297,3.526361,0,0,0,0.693147,no
2.397895,4.189655,0.693147,0,2.564949,0,no
2.772589,3.091042,0.693147,0,3.465736,0,no
4.343805,3.135494,1.791759,0.693147,3.549617,0.693147,no
4.543295,3.091042,2.197225,0,2.621039,0,no
2.639057,3.091042,1.098612,0,3.198673,0,no
1.791759,3.295837,0,0,0,0,no
3.218876,2.890372,1.098612,0,1.098612,0,no
4.543295,3.091042,1.609438,0,2.862201,0,no
3.332205,2.890372,0,0,0,0,no
5.739793,4.127134,3.465736,1.791759,2.200802,1.386294,no
4.663439,2.772589,0.693147,0,3.367296,0,no
4.234107,3.091042,1.386294,0,3.218876,0,no
2.639057,2.890372,0,0,0,0,no
1.94591,3.401197,0.693147,0,3.218876,0,no
4.442651,3.526361,1.098612,0,2.917771,0,no
6.165418,2.944439,0,0,0,2.079442,no
3.091042,3.465736,0.693147,0,3.465736,0,no
5.676754,3.496508,1.386294,0,3.806662,0.693147,no
4.59512,4.343805,0.693147,0,1.791759,0,no
3.850148,2.944439,0.693147,0,3.555348,0.693147,no
2.302585,3.218876,1.098612,0,4.110874,0,no
1.791759,3.295837,0,0,0,0,no
1.791759,3.178054,0.693147,0,2.564949,0,no
3.970292,2.890372,0,0,0,0,no
3.663562,2.890372,0,0,0,0,no
3.583519,3.091042,1.386294,0,2.268684,0,no
4.672829,3.091042,1.098612,0,3.496508,0,no
5.062595,4.691348,1.791759,1.098612,2.261763,0,no
3.988984,3.218876,0.693147,0,4.744932,0,no
5.231109,4.406719,1.098612,0,3.901973,0,no
1.94591,3.367296,0.693147,0,3.218876,0,no
3.496508,3.091042,0.693147,0,2.564949,0,no
5.869297,3.526361,0,0,0,0.693147,no
3.258097,2.944439,0.693147,0,3.555348,0,no
4.543295,3.135494,1.386294,0,3.283414,0,no
4.553877,3.218876,1.098612,0,3.198673,0,no
6.152733,3.218876,2.197225,1.098612,2.409195,1.791759,no
3.7612,3.583519,0.693147,0,1.791759,0,no
4.174387,3.465736,0.693147,0.693147,0.693147,1.098612,no
1.791759,3.465736,0.693147,0,3.465736,0,no
4.672829,2.772589,1.386294,0,4.390325,0,no
6.165418,2.944439,0,0,0,2.079442,no
6.49224,5.068904,2.564949,0,2.983153,1.791759,no
4.290459,4.189655,0,0,0,0.693147,no
6.520621,5.01728,2.564949,0,2.983153,1.791759,no
5.720312,5.023881,0.693147,0,4.744932,0,no
5.273,3.091042,0.693147,0,3.465736,0.693147,no
3.135494,3.091042,1.098612,0,3.496508,0,no
1.609438,3.367296,0.693147,0,3.218876,0,no
4.430817,3.988984,1.609438,0,4.102643,0,no
3.433987,3.091042,0.693147,0.693147,2.397895,0,no
5.676754,3.496508,1.386294,0,3.806662,0.693147,no
2.197225,2.890372,0.693147,0,3.555348,0,no
4.290459,3.433987,1.098612,0,3.496508,0,no
4.007333,3.258097,1.098612,0,4.189655,0,no
4.219508,2.890372,1.098612,0,4.189655,0.693147,no
3.828641,2.890372,0,0,0,0,no
2.639057,2.890372,0,0,0,0,no
5.308268,5.361292,1.386294,0.693147,2.538974,0,no
3.688879,3.637586,0.693147,0,4.574711,0,no
3.135494,3.295837,1.098612,0,3.091042,0,no
4.174387,3.465736,0.693147,0.693147,0.693147,1.098612,no
4.59512,3.332205,1.791759,0.693147,3.543854,0,no
5.710427,3.367296,0.693147,0,2.564949,0,no
3.850148,3.295837,1.386294,0,0.693147,0,no
3.73767,3.7612,0.693147,0,3.951244,0,no
4.094345,4.219508,0.693147,0,3.218876,0,no
2.197225,3.610918,0,0,0,0,no
4.718499,3.496508,1.098612,0.693147,2.862201,0,no
1.609438,2.890372,0.693147,0,3.555348,0,no
1.94591,3.332205,0.693147,0,2.772589,0,no
6.297109,3.7612,1.098612,0,2.890372,0.693147,no
4.442651,3.970292,1.098612,0,2.674149,0,no
4.574711,3.091042,2.197225,0,2.621039,0,no
4.574711,3.091042,2.197225,0,2.621039,0,no
4.882802,3.828641,0.693147,0,3.218876,0,no
